#Al-27pg		A [1/s]	4.98E+02		t [s]	50400		tau	0.680		Angle [°]	1.570796327			arbsc	1.25
#E Gamma	I_abs	ΔI_abs	Counts FEP	ΔCounts FEP	eff FEP	Δeff FEP	E SEP	Counts SEP	ΔCounts SEP	eff SEP	Δeff SEP	E DEP	Counts DEP	ΔCounts DEP	eff DEP	Δeff DEP	ang	a2	a4
10509	85.00%	3.00%	1673	44	0.0088%	0.0004%	9998	2947	63	0.0155%	0.0006%	9487	1356	52	7.14084E-05	3.72164E-06	1.308375	-0.541	0.101
8239	7.10%	0.20%	377	36	0.0250%	0.0025%	7728	429	29	0.0285%	0.0021%	7217	206	24	0.000136744	1.63904E-05	1.242625	-0.504	-0.025
