#Co-56		A [1/s]	2.79E+04		t [s]	9600		tau	0.957
#E Gamma	I_abs	ΔI_abs	Counts FEP	ΔCounts FEP	eff FEP	Δeff FEP	E SEP	Counts SEP	ΔCounts SEP	eff SEP	Δeff SEP	E DEP	Counts DEP	ΔCounts DEP	eff DEP	Δeff DEP
847	99.94%	0.00%	419309	660	0.1638%	0.0003%	n.v.					n.v.
977	1.42%	0.01%	5556	158	0.1527%	0.0044%	n.v.					n.v.
1038	14.00%	0.05%	52925	267	0.1476%	0.0009%	527					16
1175	2.25%	0.01%	8186	131	0.1420%	0.0023%	664					153
1238	66.40%	0.20%	227138	486	0.1335%	0.0005%	727	246	174	0.0001%	0.0001%	216
1360	4.28%	0.01%	13832	141	0.1261%	0.0013%	849					338
1771	15.45%	0.04%	41413	220	0.1046%	0.0006%	1260	915	87	0.0023%	0.0002%	749	770	157	0.002%	0.000%
2015	3.02%	0.01%	7778	107	0.1005%	0.0014%	1504	426	82	0.0055%	0.0011%	993
2035	7.74%	0.01%	19207	152	0.0969%	0.0008%	1524	963	99	0.0049%	0.0005%	1013	845	169	0.004%	0.001%
2598	16.96%	0.04%	34586	195	0.0796%	0.0005%	2087	4607	98	0.0106%	0.0002%	1576	2275	91	0.005%	0.000%
3010	1.04%	0.02%	1950	72	0.0732%	0.0030%	2499	390	64	0.0146%	0.0024%	1988
3202	3.20%	0.01%	5307	79	0.0647%	0.0010%	2691	1189	66	0.0145%	0.0008%	2180	649	62	0.008%	0.001%
3253	7.87%	0.03%	13127	118	0.0651%	0.0006%	2742	3106	79	0.0154%	0.0004%	2231	1470	74	0.007%	0.000%
3273	1.86%	0.01%	3103	58	0.0651%	0.0013%	2762	772	60	0.0162%	0.0013%	2251	364	74	0.008%	0.002%
3451	0.94%	0.01%	1481	39	0.0615%	0.0017%	2940	376	58	0.0156%	0.0024%	2429	192	55	0.008%	0.002%
